index,cleaned_text,kmeans_k2,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7
361,"design hit counter design a hit counter which counts the number of hits received in the past `5` minutes (i.e., the past `300` seconds). your system should accept a `timestamp` parameter (in seconds granularity), and you may assume that calls are being made to the system in chronological order (i.e., `timestamp` is monotonically increasing). several hits may arrive roughly at the same time. implement the `hitcounter` class: `hitcounter()` initializes the object of the hit counter system. `void hit(int timestamp)` records a hit that happened at `timestamp` (in seconds). several hits may happen at the same `timestamp`. `int gethits(int timestamp)` returns the number of hits in the past 5 minutes from `timestamp` (i.e., the past `300` seconds). example 1: input [""hitcounter"", ""hit"", ""hit"", ""hit"", ""gethits"", ""hit"", ""gethits"", ""gethits""] [[], [1], [2], [3], [4], [300], [300], [301]] output [null, null, null, null, 3, null, 4, 3] explanation hitcounter hitcounter = new hitcounter(); hitcounter.hit(1); // hit at timestamp 1. hitcounter.hit(2); // hit at timestamp 2. hitcounter.hit(3); // hit at timestamp 3. hitcounter.gethits(4); // get hits at timestamp 4, return 3. hitcounter.hit(300); // hit at timestamp 300. hitcounter.gethits(300); // get hits at timestamp 300, return 4. hitcounter.gethits(301); // get hits at timestamp 301, return 3. constraints: `1 <= timestamp <= 2 * 109` all the calls are being made to the system in chronological order (i.e., `timestamp` is monotonically increasing). at most `300` calls will be made to `hit` and `gethits`. follow up: what if the number of hits per second could be huge? does your design scale? topics: design",1,1,3,1,4,5
362,"max sum of rectangle no larger than k given an `m x n` matrix `matrix` and an integer `k`, return the max sum of a rectangle in the matrix such that its sum is no larger than `k`. it is guaranteed that there will be a rectangle with a sum no larger than `k`. example 1: input: matrix = [[1,0,1],[0,-2,3]], k = 2 output: 2 explanation: because the sum of the blue rectangle [[0, 1], [-2, 3]] is 2, and 2 is the max number no larger than k (k = 2). example 2: input: matrix = [[2,2,-1]], k = 3 output: 3 constraints: `m == matrix.length` `n == matrix[i].length` `1 <= m, n <= 100` `-100 <= matrix[i][j] <= 100` `-105 <= k <= 105` follow up: what if the number of rows is much larger than the number of columns? topics: binary search,dynamic programming,queue",1,1,3,1,4,6
363,"nested list weight sum ii you are given a nested list of integers `nestedlist`. each element is either an integer or a list whose elements may also be integers or other lists. the depth of an integer is the number of lists that it is inside of. for example, the nested list `[1,[2,2],[[3],2],1]` has each integer's value set to its depth. let `maxdepth` be the maximum depth of any integer. the weight of an integer is `maxdepth - (the depth of the integer) + 1`. return the sum of each integer in `nestedlist` multiplied by its weight. example 1: input: nestedlist = [[1,1],2,[1,1]] output: 8 explanation: four 1's with a weight of 1, one 2 with a weight of 2. 1*1 + 1*1 + 2*2 + 1*1 + 1*1 = 8 example 2: input: nestedlist = [1,[4,[6]]] output: 17 explanation: one 1 at depth 3, one 4 at depth 2, and one 6 at depth 1. 1*3 + 4*2 + 6*1 = 17 constraints: `1 <= nestedlist.length <= 50` the values of the integers in the nested list is in the range `[-100, 100]`. the maximum depth of any integer is less than or equal to `50`. topics: depth-first search",1,1,3,4,1,5
364,"water and jug problem you are given two jugs with capacities `jug1capacity` and `jug2capacity` liters. there is an infinite amount of water supply available. determine whether it is possible to measure exactly `targetcapacity` liters using these two jugs. if `targetcapacity` liters of water are measurable, you must have `targetcapacity` liters of water contained within one or both buckets by the end. operations allowed: fill any of the jugs with water. empty any of the jugs. pour water from one jug into another till the other jug is completely full, or the first jug itself is empty. example 1: input: jug1capacity = 3, jug2capacity = 5, targetcapacity = 4 output: true explanation: the famous die hard example example 2: input: jug1capacity = 2, jug2capacity = 6, targetcapacity = 5 output: false example 3: input: jug1capacity = 1, jug2capacity = 2, targetcapacity = 3 output: true constraints: `1 <= jug1capacity, jug2capacity, targetcapacity <= 106` topics: math",1,1,3,1,4,5
365,"find leaves of binary tree given the `root` of a binary tree, collect a tree's nodes as if you were doing this: collect all the leaf nodes. remove all the leaf nodes. repeat until the tree is empty. example 1: input: root = [1,2,3,4,5] output: [[4,5,3],[2],[1]] explanation: [[3,5,4],[2],[1]] and [[3,4,5],[2],[1]] are also considered correct answers since per each level it does not matter the order on which elements are returned. example 2: input: root = [1] output: [[1]] constraints: the number of nodes in the tree is in the range `[1, 100]`. `1 <= node.val <= 100` topics: tree,depth-first search",1,1,1,3,1,0
366,"valid perfect square given a positive integer num, write a function which returns true if num is a perfect square else false. follow up: do not use any built-in library function such as `sqrt`. example 1: input: num = 16 output: true example 2: input: num = 14 output: false constraints: `1 <= num <= 2^31 - 1` topics: math,binary search",1,1,3,4,5,2
367,"largest divisible subset given a set of distinct positive integers `nums`, return the largest subset `answer` such that every pair `(answer[i], answer[j])` of elements in this subset satisfies: `answer[i] % answer[j] == 0`, or `answer[j] % answer[i] == 0` if there are multiple solutions, return any of them. example 1: input: nums = [1,2,3] output: [1,2] explanation: [1,3] is also accepted. example 2: input: nums = [1,2,4,8] output: [1,2,4,8] constraints: `1 <= nums.length <= 1000` `1 <= nums[i] <= 2 * 109` all the integers in `nums` are unique. topics: math,dynamic programming",1,1,3,4,3,3
368,"plus one linked list given a non-negative integer represented as a linked list of digits, plus one to the integer. the digits are stored such that the most significant digit is at the `head` of the list. example 1: input: head = [1,2,3] output: [1,2,4] example 2: input: head = [0] output: [1] constraints: the number of nodes in the linked list is in the range `[1, 100]`. `0 <= node.val <= 9` the number represented by the linked list does not contain leading zeros except for the zero itself. topics: linked list,recursion",1,1,1,3,1,0
369,"range addition you are given an integer `length` and an array `updates` where `updates[i] = [startidxi, endidxi, inci]`. you have an array `arr` of length `length` with all zeros, and you have some operation to apply on `arr`. in the `ith` operation, you should increment all the elements `arr[startidxi], arr[startidxi + 1], ..., arr[endidxi]` by `inci`. return `arr` after applying all the `updates`. example 1: input: length = 5, updates = [[1,3,2],[2,4,3],[0,2,-2]] output: [-2,0,3,5,3] example 2: input: length = 10, updates = [[2,4,6],[5,6,8],[1,9,-4]] output: [0,-4,2,2,2,4,4,-4,-4,-4] constraints: `1 <= length <= 105` `0 <= updates.length <= 104` `0 <= startidxi <= endidxi < length` `-1000 <= inci <= 1000` topics: array",1,1,3,4,3,3
370,"sum of two integers given two integers `a` and `b`, return the sum of the two integers without using the operators `+` and `-`. example 1: input: a = 1, b = 2 output: 3 example 2: input: a = 2, b = 3 output: 5 constraints: `-1000 <= a, b <= 1000` topics: bit manipulation",1,1,3,4,5,2
371,"super pow your task is to calculate `ab` mod `1337` where `a` is a positive integer and `b` is an extremely large positive integer given in the form of an array. example 1: input: a = 2, b = [3] output: 8 example 2: input: a = 2, b = [1,0] output: 1024 example 3: input: a = 1, b = [4,3,3,8,5,2] output: 1 example 4: input: a = 2147483647, b = [2,0,0] output: 1198 constraints: `1 <= a <= 231 - 1` `1 <= b.length <= 2000` `0 <= b[i] <= 9` `b` doesn't contain leading zeros. topics: nan",1,1,3,4,5,2
372,"find k pairs with smallest sums you are given two integer arrays `nums1` and `nums2` sorted in ascending order and an integer `k`. define a pair `(u, v)` which consists of one element from the first array and one element from the second array. return the `k` pairs `(u1, v1), (u2, v2), ..., (uk, vk)` with the smallest sums. example 1: input: nums1 = [1,7,11], nums2 = [2,4,6], k = 3 output: [[1,2],[1,4],[1,6]] explanation: the first 3 pairs are returned from the sequence: [1,2],[1,4],[1,6],[7,2],[7,4],[11,2],[7,6],[11,4],[11,6] example 2: input: nums1 = [1,1,2], nums2 = [1,2,3], k = 2 output: [[1,1],[1,1]] explanation: the first 2 pairs are returned from the sequence: [1,1],[1,1],[1,2],[2,1],[1,2],[2,2],[1,3],[1,3],[2,3] example 3: input: nums1 = [1,2], nums2 = [3], k = 3 output: [[1,3],[2,3]] explanation: all possible pairs are returned from the sequence: [1,3],[2,3] constraints: `1 <= nums1.length, nums2.length <= 104` `-109 <= nums1[i], nums2[i] <= 109` `nums1` and `nums2` both are sorted in ascending order. `1 <= k <= 1000` topics: heap",1,1,3,4,3,3
373,"guess number higher or lower we are playing the guess game. the game is as follows: i pick a number from `1` to `n`. you have to guess which number i picked. every time you guess wrong, i will tell you whether the number i picked is higher or lower than your guess. you call a pre-defined api `int guess(int num)`, which returns 3 possible results: `-1`: the number i picked is lower than your guess (i.e. `pick < num`). `1`: the number i picked is higher than your guess (i.e. `pick > num`). `0`: the number i picked is equal to your guess (i.e. `pick == num`). return the number that i picked. example 1: input: n = 10, pick = 6 output: 6 example 2: input: n = 1, pick = 1 output: 1 example 3: input: n = 2, pick = 1 output: 1 example 4: input: n = 2, pick = 2 output: 2 constraints: `1 <= n <= 231 - 1` `1 <= pick <= n` topics: binary search",1,1,3,4,5,2
374,"guess number higher or lower ii we are playing the guessing game. the game will work as follows: i pick a number between `1` and `n`. you guess a number. if you guess the right number, you win the game. if you guess the wrong number, then i will tell you whether the number i picked is higher or lower, and you will continue guessing. every time you guess a wrong number `x`, you will pay `x` dollars. if you run out of money, you lose the game. given a particular `n`, return the minimum amount of money you need to guarantee a win regardless of what number i pick. example 1: input: n = 10 output: 16 explanation: the winning strategy is as follows: - the range is [1,10]. guess 7. - if this is my number, your total is $0. otherwise, you pay $7. - if my number is higher, the range is [8,10]. guess 9. - if this is my number, your total is $7. otherwise, you pay $9. - if my number is higher, it must be 10. guess 10. your total is $7 + $9 = $16. - if my number is lower, it must be 8. guess 8. your total is $7 + $9 = $16. - if my number is lower, the range is [1,6]. guess 3. - if this is my number, your total is $7. otherwise, you pay $3. - if my number is higher, the range is [4,6]. guess 5. - if this is my number, your total is $7 + $3 = $10. otherwise, you pay $5. - if my number is higher, it must be 6. guess 6. your total is $7 + $3 + $5 = $15. - if my number is lower, it must be 4. guess 4. your total is $7 + $3 + $5 = $15. - if my number is lower, the range is [1,2]. guess 1. - if this is my number, your total is $7 + $3 = $10. otherwise, you pay $1. - if my number is higher, it must be 2. guess 2. your total is $7 + $3 + $1 = $11. the worst case in all these scenarios is that you pay $16. hence, you only need $16 to guarantee a win. example 2: input: n = 1 output: 0 explanation: there is only one possible number, so you can guess 1 and not have to pay anything. example 3: input: n = 2 output: 1 explanation: there are two possible numbers, 1 and 2. - guess 1. - if this is my number, your total is $0. otherwise, you pay $1. - if my number is higher, it must be 2. guess 2. your total is $1. the worst case is that you pay $1. constraints: `1 <= n <= 200` topics: dynamic programming,minimax",1,1,3,1,5,5
375,"wiggle subsequence a wiggle sequence is a sequence where the differences between successive numbers strictly alternate between positive and negative. the first difference (if one exists) may be either positive or negative. a sequence with two or fewer elements is trivially a wiggle sequence. for example, `[1, 7, 4, 9, 2, 5]` is a wiggle sequence because the differences `(6, -3, 5, -7, 3)` alternate between positive and negative. in contrast, `[1, 4, 7, 2, 5]` and `[1, 7, 4, 5, 5]` are not wiggle sequences. the first is not because its first two differences are positive, and the second is not because its last difference is zero. a subsequence is obtained by deleting some elements (possibly zero) from the original sequence, leaving the remaining elements in their original order. given an integer array `nums`, return the length of the longest wiggle subsequence of `nums`. example 1: input: nums = [1,7,4,9,2,5] output: 6 explanation: the entire sequence is a wiggle sequence with differences (6, -3, 5, -7, 3). example 2: input: nums = [1,17,5,10,13,15,10,5,16,8] output: 7 explanation: there are several subsequences that achieve this length. one is [1, 17, 10, 13, 10, 16, 8] with differences (16, -7, 3, -3, 6, -8). example 3: input: nums = [1,2,3,4,5,6,7,8,9] output: 2 constraints: `1 <= nums.length <= 1000` `0 <= nums[i] <= 1000` follow up: could you solve this in `o(n)` time? topics: dynamic programming,greedy",1,1,3,4,3,3
376,"combination sum iv given an array of distinct integers `nums` and a target integer `target`, return the number of possible combinations that add up to `target`. the answer is guaranteed to fit in a 32-bit integer. example 1: input: nums = [1,2,3], target = 4 output: 7 explanation: the possible combination ways are: (1, 1, 1, 1) (1, 1, 2) (1, 2, 1) (1, 3) (2, 1, 1) (2, 2) (3, 1) note that different sequences are counted as different combinations. example 2: input: nums = [9], target = 3 output: 0 constraints: `1 <= nums.length <= 200` `1 <= nums[i] <= 1000` all the elements of `nums` are unique. `1 <= target <= 1000` follow up: what if negative numbers are allowed in the given array? how does it change the problem? what limitation we need to add to the question to allow negative numbers? topics: dynamic programming",1,1,3,4,3,3
377,"kth smallest element in a sorted matrix given an `n x n` `matrix` where each of the rows and columns are sorted in ascending order, return the `kth` smallest element in the matrix. note that it is the `kth` smallest element in the sorted order, not the `kth` distinct element. example 1: input: matrix = [[1,5,9],[10,11,13],[12,13,15]], k = 8 output: 13 explanation: the elements in the matrix are [1,5,9,10,11,12,13,13,15], and the 8th smallest number is 13 example 2: input: matrix = [[-5]], k = 1 output: -5 constraints: `n == matrix.length` `n == matrix[i].length` `1 <= n <= 300` `-109 <= matrix[i][j] <= 109` all the rows and columns of `matrix` are guaranteed to be sorted in non-degreasing order. `1 <= k <= n2` topics: binary search,heap",1,1,3,4,3,3
378,"design phone directory design a phone directory that initially has `maxnumbers` empty slots that can store numbers. the directory should store numbers, check if a certain slot is empty or not, and empty a given slot. implement the `phonedirectory` class: `phonedirectory(int maxnumbers)` initializes the phone directory with the number of available slots `maxnumbers`. `int get()` provides a number that is not assigned to anyone. returns `-1` if no number is available. `bool check(int number)` returns `true` if the slot `number` is available and `false` otherwise. `void release(int number)` recycles or releases the slot `number`. example 1: input [""phonedirectory"", ""get"", ""get"", ""check"", ""get"", ""check"", ""release"", ""check""] [[3], [], [], [2], [], [2], [2], [2]] output [null, 0, 1, true, 2, false, null, true] explanation phonedirectory phonedirectory = new phonedirectory(3); phonedirectory.get(); // it can return any available phone number. here we assume it returns 0. phonedirectory.get(); // assume it returns 1. phonedirectory.check(2); // the number 2 is available, so return true. phonedirectory.get(); // it returns 2, the only number that is left. phonedirectory.check(2); // the number 2 is no longer available, so return false. phonedirectory.release(2); // release number 2 back to the pool. phonedirectory.check(2); // number 2 is available again, return true. constraints: `1 <= maxnumbers <= 104` `0 <= number < maxnumbers` at most `2 * 104` calls will be made to `get`, `check`, and `release`. topics: linked list,design",1,1,3,4,5,2
379,"insert delete getrandom o(1) implement the `randomizedset` class: `randomizedset()` initializes the `randomizedset` object. `bool insert(int val)` inserts an item `val` into the set if not present. returns `true` if the item was not present, `false` otherwise. `bool remove(int val)` removes an item `val` from the set if present. returns `true` if the item was present, `false` otherwise. `int getrandom()` returns a random element from the current set of elements (it's guaranteed that at least one element exists when this method is called). each element must have the same probability of being returned. example 1: input [""randomizedset"", ""insert"", ""remove"", ""insert"", ""getrandom"", ""remove"", ""insert"", ""getrandom""] [[], [1], [2], [2], [], [1], [2], []] output [null, true, false, true, 2, true, false, 2] explanation randomizedset randomizedset = new randomizedset(); randomizedset.insert(1); // inserts 1 to the set. returns true as 1 was inserted successfully. randomizedset.remove(2); // returns false as 2 does not exist in the set. randomizedset.insert(2); // inserts 2 to the set, returns true. set now contains [1,2]. randomizedset.getrandom(); // getrandom() should return either 1 or 2 randomly. randomizedset.remove(1); // removes 1 from the set, returns true. set now contains [2]. randomizedset.insert(2); // 2 was already in the set, so return false. randomizedset.getrandom(); // since 2 is the only number in the set, getrandom() will always return 2. constraints: `-231 <= val <= 231 - 1` at most `105` calls will be made to `insert`, `remove`, and `getrandom`. there will be at least one element in the data structure when `getrandom` is called. follow up: could you implement the functions of the class with each function works in average `o(1)` time? topics: array,hash table,design",1,1,3,1,4,5
380,"insert delete getrandom o(1) - duplicates allowed implement the `randomizedcollection` class: `randomizedcollection()` initializes the `randomizedcollection` object. `bool insert(int val)` inserts an item `val` into the multiset if not present. returns `true` if the item was not present, `false` otherwise. `bool remove(int val)` removes an item `val` from the multiset if present. returns `true` if the item was present, `false` otherwise. note that if `val` has multiple occurrences in the multiset, we only remove one of them. `int getrandom()` returns a random element from the current multiset of elements (it's guaranteed that at least one element exists when this method is called). the probability of each element being returned is linearly related to the number of same values the multiset contains. example 1: input [""randomizedcollection"", ""insert"", ""insert"", ""insert"", ""getrandom"", ""remove"", ""getrandom""] [[], [1], [1], [2], [], [1], []] output [null, true, false, true, 2, true, 1] explanation randomizedcollection randomizedcollection = new randomizedcollection(); randomizedcollection.insert(1); // return true. inserts 1 to the collection. returns true as the collection did not contain 1. randomizedcollection.insert(1); // return false. inserts another 1 to the collection. returns false as the collection contained 1. collection now contains [1,1]. randomizedcollection.insert(2); // return true. inserts 2 to the collection, returns true. collection now contains [1,1,2]. randomizedcollection.getrandom(); // getrandom should return 1 with the probability 2/3, and returns 2 with the probability 1/3. randomizedcollection.remove(1); // return true. removes 1 from the collection, returns true. collection now contains [1,2]. randomizedcollection.getrandom(); // getrandom should return 1 and 2 both equally likely. constraints: `-231 <= val <= 231 - 1` at most `105` calls will be made to `insert`, `remove`, and `getrandom`. there will be at least one element in the data structure when `getrandom` is called. follow up: could you implement the functions of the class with each function works in average `o(1)` time? topics: array,hash table,design",1,1,3,4,4,5
381,"linked list random node given a singly linked list, return a random node's value from the linked list. each node must have the same probability of being chosen. example 1: input [""solution"", ""getrandom"", ""getrandom"", ""getrandom"", ""getrandom"", ""getrandom""] [[[1, 2, 3]], [], [], [], [], []] output [null, 1, 3, 2, 2, 3] explanation solution solution = new solution([1, 2, 3]); solution.getrandom(); // return 1 solution.getrandom(); // return 3 solution.getrandom(); // return 2 solution.getrandom(); // return 2 solution.getrandom(); // return 3 // getrandom() should return either 1, 2, or 3 randomly. each element should have equal probability of returning. constraints: the number of nodes in the linked list will be in the range `[1, 104]`. `-104 <= node.val <= 104` at most `104` calls will be made to `getrandom`. follow up: what if the linked list is extremely large and its length is unknown to you? could you solve this efficiently without using extra space? topics: reservoir sampling",1,1,1,1,4,5
382,"ransom note given an arbitrary ransom note string and another string containing letters from all the magazines, write a function that will return true if the ransom note can be constructed from the magazines ; otherwise, it will return false. each letter in the magazine string can only be used once in your ransom note. example 1: input: ransomnote = ""a"", magazine = ""b"" output: false example 2: input: ransomnote = ""aa"", magazine = ""ab"" output: false example 3: input: ransomnote = ""aa"", magazine = ""aab"" output: true constraints: you may assume that both strings contain only lowercase letters. topics: string",1,2,0,2,0,4
383,"shuffle an array given an integer array `nums`, design an algorithm to randomly shuffle the array. implement the `solution` class: `solution(int[] nums)` initializes the object with the integer array nums. `int[] reset()` resets the array to its original configuration and returns it. `int[] shuffle()` returns a random shuffling of the array. example 1: input [""solution"", ""shuffle"", ""reset"", ""shuffle""] [[[1, 2, 3]], [], [], []] output [null, [3, 1, 2], [1, 2, 3], [1, 3, 2]] explanation solution solution = new solution([1, 2, 3]); solution.shuffle(); // shuffle the array [1,2,3] and return its result. any permutation of [1,2,3] must be equally likely to be returned. example: return [3, 1, 2] solution.reset(); // resets the array back to its original configuration [1,2,3]. return [1, 2, 3] solution.shuffle(); // returns the random shuffling of array [1,2,3]. example: return [1, 3, 2] constraints: `1 <= nums.length <= 200` `-106 <= nums[i] <= 106` all the elements of `nums` are unique. at most `5 * 104` calls will be made to `reset` and `shuffle`. topics: nan",1,1,3,4,3,3
384,"mini parser given a string s represents the serialization of a nested list, implement a parser to deserialize it and return the deserialized `nestedinteger`. each element is either an integer or a list whose elements may also be integers or other lists. example 1: input: s = ""324"" output: 324 explanation: you should return a nestedinteger object which contains a single integer 324. example 2: input: s = ""[123,[456,[789]]]"" output: [123,[456,[789]]] explanation: return a nestedinteger object containing a nested list with 2 elements: 1. an integer containing value 123. 2. a nested list containing two elements: i. an integer containing value 456. ii. a nested list with one element: a. an integer containing value 789 constraints: `1 <= s.length <= 5 * 104` `s` consists of digits, square brackets `""[]""`, negative sign `'-'`, and commas `','`. `s` is the serialization of valid `nestedinteger`. topics: string,stack",1,2,0,2,5,2
385,"lexicographical numbers given an integer `n`, return all the numbers in the range `[1, n]` sorted in lexicographical order. example 1: input: n = 13 output: [1,10,11,12,13,2,3,4,5,6,7,8,9] example 2: input: n = 2 output: [1,2] constraints: `1 <= n <= 5 * 104` follow up: could you optimize your solution to use `o(n)` runtime and `o(1)` space? topics: nan",1,1,3,4,3,3
386,"first unique character in a string given a string `s`, return the first non-repeating character in it and return its index. if it does not exist, return `-1`. example 1: input: s = ""leetcode"" output: 0 example 2: input: s = ""loveleetcode"" output: 2 example 3: input: s = ""aabb"" output: -1 constraints: `1 <= s.length <= 105` `s` consists of only lowercase english letters. topics: hash table,string",1,2,0,2,0,4
387,"longest absolute file path suppose we have a file system that stores both files and directories. an example of one system is represented in the following picture: here, we have `dir` as the only directory in the root. `dir` contains two subdirectories, `subdir1` and `subdir2`. `subdir1` contains a file `file1.ext` and subdirectory `subsubdir1`. `subdir2` contains a subdirectory `subsubdir2`, which contains a file `file2.ext`. in text form, it looks like this (with ⟶ representing the tab character): dir ⟶ subdir1 ⟶ ⟶ file1.ext ⟶ ⟶ subsubdir1 ⟶ subdir2 ⟶ ⟶ subsubdir2 ⟶ ⟶ ⟶ file2.ext if we were to write this representation in code, it will look like this: `""dir\n\tsubdir1\n\t\tfile1.ext\n\t\tsubsubdir1\n\tsubdir2\n\t\tsubsubdir2\n\t\t\tfile2.ext""`. note that the `'\n'` and `'\t'` are the new-line and tab characters. every file and directory has a unique absolute path in the file system, which is the order of directories that must be opened to reach the file/directory itself, all concatenated by `'/'s`. using the above example, the absolute path to `file2.ext` is `""dir/subdir2/subsubdir2/file2.ext""`. each directory name consists of letters, digits, and/or spaces. each file name is of the form `name.extension`, where `name` and `extension` consist of letters, digits, and/or spaces. given a string `input` representing the file system in the explained format, return the length of the longest absolute path to a file in the abstracted file system. if there is no file in the system, return `0`. example 1: input: input = ""dir\n\tsubdir1\n\tsubdir2\n\t\tfile.ext"" output: 20 explanation: we have only one file, and the absolute path is ""dir/subdir2/file.ext"" of length 20. example 2: input: input = ""dir\n\tsubdir1\n\t\tfile1.ext\n\t\tsubsubdir1\n\tsubdir2\n\t\tsubsubdir2\n\t\t\tfile2.ext"" output: 32 explanation: we have two files: ""dir/subdir1/file1.ext"" of length 21 ""dir/subdir2/subsubdir2/file2.ext"" of length 32. we return 32 since it is the longest absolute path to a file. example 3: input: input = ""a"" output: 0 explanation: we do not have any files, just a single directory named ""a"". example 4: input: input = ""file1.txt\nfile2.txt\nlongfile.txt"" output: 12 explanation: there are 3 files at the root directory. since the absolute path for anything at the root directory is just the name itself, the answer is ""longfile.txt"" with length 12. constraints: `1 <= input.length <= 104` `input` may contain lowercase or uppercase english letters, a new line character `'\n'`, a tab character `'\t'`, a dot `'.'`, a space `' '`, and digits. topics: nan",1,2,0,2,0,4
388,"find the difference you are given two strings `s` and `t`. string `t` is generated by random shuffling string `s` and then add one more letter at a random position. return the letter that was added to `t`. example 1: input: s = ""abcd"", t = ""abcde"" output: ""e"" explanation: 'e' is the letter that was added. example 2: input: s = """", t = ""y"" output: ""y"" example 3: input: s = ""a"", t = ""aa"" output: ""a"" example 4: input: s = ""ae"", t = ""aea"" output: ""a"" constraints: `0 <= s.length <= 1000` `t.length == s.length + 1` `s` and `t` consist of lower-case english letters. topics: hash table,bit manipulation",1,2,0,2,0,4
389,"elimination game you have a list `arr` of all integers in the range `[1, n]` sorted in a strictly increasing order. apply the following algorithm on `arr`: starting from left to right, remove the first number and every other number afterward until you reach the end of the list. repeat the previous step again, but this time from right to left, remove the rightmost number and every other number from the remaining numbers. keep repeating the steps again, alternating left to right and right to left, until a single number remains. given the integer `n`, return the last number that remains in `arr`. example 1: input: n = 9 output: 6 explanation: arr = [1, 2, 3, 4, 5, 6, 7, 8, 9] arr = [2, 4, 6, 8] arr = [2, 6] arr = [6] example 2: input: n = 1 output: 1 constraints: `1 <= n <= 109` topics: nan",1,1,3,4,3,3
390,"perfect rectangle given an array `rectangles` where `rectangles[i] = [xi, yi, ai, bi]` represents an axis-aligned rectangle. the bottom-left point of the rectangle is `(xi, yi)` and the top-right point of it is `(ai, bi)`. return `true` if all the rectangles together form an exact cover of a rectangular region. example 1: input: rectangles = [[1,1,3,3],[3,1,4,2],[3,2,4,4],[1,3,2,4],[2,3,3,4]] output: true explanation: all 5 rectangles together form an exact cover of a rectangular region. example 2: input: rectangles = [[1,1,2,3],[1,3,2,4],[3,1,4,2],[3,2,4,4]] output: false explanation: because there is a gap between the two rectangular regions. example 3: input: rectangles = [[1,1,3,3],[3,1,4,2],[1,3,2,4],[3,2,4,4]] output: false explanation: because there is a gap in the top center. example 4: input: rectangles = [[1,1,3,3],[3,1,4,2],[1,3,2,4],[2,2,4,4]] output: false explanation: because two of the rectangles overlap with each other. constraints: `1 <= rectangles.length <= 2 * 104` `rectangles[i].length == 4` `-105 <= xi, yi, ai, bi <= 105` topics: line sweep",1,1,3,1,4,6
391,"is subsequence given two strings `s` and `t`, check if `s` is a subsequence of `t`. a subsequence of a string is a new string that is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (i.e., `""ace""` is a subsequence of `""abcde""` while `""aec""` is not). example 1: input: s = ""abc"", t = ""ahbgdc"" output: true example 2: input: s = ""axc"", t = ""ahbgdc"" output: false constraints: `0 <= s.length <= 100` `0 <= t.length <= 104` `s` and `t` consist only of lowercase english letters. follow up: if there are lots of incoming `s`, say `s1, s2, ..., sk` where `k >= 109`, and you want to check one by one to see if `t` has its subsequence. in this scenario, how would you change your code? topics: binary search,dynamic programming,greedy",1,2,0,2,0,4
392,"utf-8 validation given an integer array `data` representing the data, return whether it is a valid utf-8 encoding. a character in utf8 can be from 1 to 4 bytes long, subjected to the following rules: for a 1-byte character, the first bit is a `0`, followed by its unicode code. for an n-bytes character, the first `n` bits are all one's, the `n + 1` bit is `0`, followed by `n - 1` bytes with the most significant `2` bits being `10`. this is how the utf-8 encoding would work: ` char. number range | utf-8 octet sequence (hexadecimal) | (binary) --------------------+--------------------------------------------- 0000 0000-0000 007f | 0xxxxxxx 0000 0080-0000 07ff | 110xxxxx 10xxxxxx 0000 0800-0000 ffff | 1110xxxx 10xxxxxx 10xxxxxx 0001 0000-0010 ffff | 11110xxx 10xxxxxx 10xxxxxx 10xxxxxx` note: the input is an array of integers. only the least significant 8 bits of each integer is used to store the data. this means each integer represents only 1 byte of data. example 1: input: data = [197,130,1] output: true explanation: data represents the octet sequence: 11000101 10000010 00000001. it is a valid utf-8 encoding for a 2-bytes character followed by a 1-byte character. example 2: input: data = [235,140,4] output: false explanation: data represented the octet sequence: 11101011 10001100 00000100. the first 3 bits are all one's and the 4th bit is 0 means it is a 3-bytes character. the next byte is a continuation byte which starts with 10 and that's correct. but the second continuation byte does not start with 10, so it is invalid. constraints: `1 <= data.length <= 2 * 104` `0 <= data[i] <= 255` topics: bit manipulation",1,2,0,2,5,2
393,"decode string given an encoded string, return its decoded string. the encoding rule is: `k[encoded_string]`, where the `encoded_string` inside the square brackets is being repeated exactly `k` times. note that `k` is guaranteed to be a positive integer. you may assume that the input string is always valid; no extra white spaces, square brackets are well-formed, etc. furthermore, you may assume that the original data does not contain any digits and that digits are only for those repeat numbers, `k`. for example, there won't be input like `3a` or `2[4]`. example 1: input: s = ""3[a]2[bc]"" output: ""aaabcbc"" example 2: input: s = ""3[a2[c]]"" output: ""accaccacc"" example 3: input: s = ""2[abc]3[cd]ef"" output: ""abcabccdcdcdef"" example 4: input: s = ""abc3[cd]xyz"" output: ""abccdcdcdxyz"" constraints: `1 <= s.length <= 30` `s` consists of lowercase english letters, digits, and square brackets `'[]'`. `s` is guaranteed to be a valid input. all the integers in `s` are in the range `[1, 300]`. topics: stack,depth-first search",1,2,0,2,0,4
394,"longest substring with at least k repeating characters given a string `s` and an integer `k`, return the length of the longest substring of `s` such that the frequency of each character in this substring is greater than or equal to `k`. example 1: input: s = ""aaabb"", k = 3 output: 3 explanation: the longest substring is ""aaa"", as 'a' is repeated 3 times. example 2: input: s = ""ababbc"", k = 2 output: 5 explanation: the longest substring is ""ababb"", as 'a' is repeated 2 times and 'b' is repeated 3 times. constraints: `1 <= s.length <= 104` `s` consists of only lowercase english letters. `1 <= k <= 105` topics: divide and conquer,recursion,sliding window",1,2,0,2,0,4
